date_sold,title,price_usd,condition,brand,model,location,seller,notes
2026-02-12,GE Datex-Ohmeda Aladin 2 Sevoflurane Vaporizer Model BGBK00443,549.99,Pre-Owned,GE/Datex-Ohmeda,Aladin 2,United States,homeli_51,Best offer accepted
2026-02-07,Datex Ohmeda TEC 7 Sevoflurane Vaporizer,695.00,Pre-Owned,Datex-Ohmeda,Tec 7,United States,medical_online_superstore,Best offer accepted
2026-02-06,TESTED with drug Datex Ohmeda TEC 7 Sevoflurane Vaporizer SEVO VAP,1200.00,Refurbished,Datex-Ohmeda,Tec 7,United States,aneservmedicalinc,or Best Offer
2026-01-29,Datex Ohmeda Type A-VSEVO Aladin Sevoflurane Cassette Vaporizer,461.99,Pre-Owned,Datex-Ohmeda,Aladin,United States,the-medicka,or Best Offer
2026-01-28,Datex-Ohmeda Tec 7 Sevoflurane Vaporizer,516.00,Pre-Owned,Datex-Ohmeda,Tec 7,United States,relinkmedical,or Best Offer
2026-01-28,Datex-Ohmeda Tec 7 Sevoflurane Vaporizer,516.00,Pre-Owned,Datex-Ohmeda,Tec 7,United States,relinkmedical,Best offer accepted
2026-01-26,Datex Ohmeda Sevoflurane Aladin Cassette Electronic Vaporizer,699.00,Pre-Owned,Datex-Ohmeda,Aladin,United States,mr.anesthesia,or Best Offer
2026-01-24,Datex-Ohmeda Tec 7 Sevoflurane Anesthesia Vaporizer,780.00,Parts Only,Datex-Ohmeda,Tec 7,United States,reusemedical,or Best Offer
2026-01-20,Datex-Ohmeda Tec 7 Sevoflurane Anesthesia Vaporizer,1499.99,Pre-Owned,Datex-Ohmeda,Tec 7,United States,reusemedical,or Best Offer
2026-01-19,Drager Medical Vapor 2000 Sevoflurane Vaporizer M35054,850.00,Pre-Owned,Drager,Vapor 2000,United States,medrent,Buy It Now
2026-01-18,Datex Ohmeda Sevotec 5 Sevoflurane Vaporizer,275.00,Pre-Owned,Datex-Ohmeda,Sevotec 5,United States,medical_online_superstore,Best offer accepted
2026-01-16,Drager 19.1 Sevoflurane Anesthesia Vaporizer,340.00,Pre-Owned,Drager,19.1,United States,atwatermedexchange,or Best Offer
2026-01-14,Drager Vapor 2000 Sevoflurane Vaporizer PARTS UNIT,450.00,Parts Only,Drager,Vapor 2000,United States,tr3719,Best offer accepted
2026-01-14,Datex-Ohmeda TEC 7 Sevoflurane Vaporizer,500.00,Pre-Owned,Datex-Ohmeda,Tec 7,United States,readymedgo,Best offer accepted
2026-01-09,GE DATEX OHMEDA ALADIN2 SEVOFLURANE VAPORIZER,350.00,Pre-Owned,GE/Datex-Ohmeda,Aladin2,United States,tekyard_medical,Buy It Now
2026-01-07,Datex Ohmeda GE Tec 7 Sevoflurane Vaporizer working nice unit,899.00,Pre-Owned,Datex-Ohmeda,Tec 7,United States,gulfstate-10,Best offer accepted
2026-01-05,Drager Vapor 2000 Sevoflurane Vaporizer M35170 30 Day DOA Warranty,899.00,Pre-Owned,Drager,Vapor 2000,United States,redroosteroddities,Buy It Now
2025-12-31,NEW Datex Ohmeda TEC 7 Sevoflurane Vaporizer,1499.99,Brand New,Datex-Ohmeda,Tec 7,United States,re_cycle_electronics,or Best Offer
2025-12-31,Penlon Anesthesia Sevoflurane Vaporizer SevoFlo,375.00,Pre-Owned,Penlon,SevoFlo,United States,jmt211,Best offer accepted
2025-12-29,USED Datex Ohmeda TEC 7 Sevoflurane Vaporizer SEVO VAP,730.00,Pre-Owned,Datex-Ohmeda,Tec 7,United States,oasismedequipmentsales,Best offer accepted
2025-08-13,DATEX-OHMEDA ALADIN2 SEVOFLURANE VAPORIZER,450.00,Pre-Owned,Datex-Ohmeda,Aladin2,United States,tekyard_medical,Best offer accepted
