date_sold,title,price_usd,condition,brand,model,location,seller,notes
2026-02-08,Datex Ohmeda Model Isotec 4 Isoflurane Only Vaporizer,94.99,Pre-Owned,Datex-Ohmeda,Isotec 4,United States,8ten1944,Buy It Now; listed at $114.99
2026-02-07,USED Isoflurane Veterinary Vaporizer,227.50,Pre-Owned,Unspecified,Unspecified,United States,fabricorganics,9 bids auction; veterinary
2026-02-07,Datex-Ohmeda Isotec 5 Isoflurane Vaporizer,125.99,Parts Only,Datex-Ohmeda,Isotec 5,United States,wing_and_sons,Best offer accepted
2026-02-03,Datex Ohmeda TEC 7 Isoflurane Vaporizer,400.00,Parts Only,Datex-Ohmeda,Tec 7,South Korea,campmil,Best offer accepted
2026-02-02,Datex Ohmeda Engstrom Aladin A-VISO Isoflurane Anesthesia Vaporizer,400.00,Pre-Owned,Datex-Ohmeda,Aladin,Israel,goldgreenmetal,or Best Offer
2026-01-31,Ohmeda Medical TEC Isotec 4 Isoflurane Vaporizer,105.00,Pre-Owned,Ohmeda,Isotec 4,United States,relinkmedical,Best offer accepted
2026-01-29,Isoflurane Vapor 19.1 Anesthetic Vaporizer,245.00,Pre-Owned,Drager,Vapor 19.1,United States,ultrasoundsnmore,Best offer accepted
2026-01-29,Baxter Datex OHMEDA Tec 7 Isoflurane Anesthesia Vaporizer,244.00,Parts Only,Datex-Ohmeda,Tec 7,United States,electrogirl2015,Buy It Now
2026-01-27,Isoflurane Vaporizer Anesthesia Veterinary Unit Vetland Medical ISOTEK 3,500.00,Pre-Owned,Vetland,ISOTEK 3,United States,cree-74091,Best offer accepted; veterinary
2026-01-27,Veterinary Isoflurane Vaporizer,475.00,Pre-Owned,Unspecified,Unspecified,United States,jmt211,or Best Offer; veterinary
2026-01-26,Vet Equip Isoflurane Vaporizer / Scavenging Cube,795.00,Pre-Owned,VetEquip,Scavenging Cube,United States,egan-mark,Buy It Now; veterinary
2026-01-25,OHMEDA ISOFLURANE VAPORIZER,195.00,Pre-Owned,Ohmeda,Unspecified,United States,wazobiascientific,or Best Offer
2026-01-24,OHMEDA ISOTEC 5 ISOFLURANE VAPORIZER,100.00,Pre-Owned,Ohmeda,Isotec 5,United States,medical_online_superstore,Best offer accepted
2026-01-19,Mindray M35054-16 Isoflurane Vaporizer with Quick Fill Adapter AS IS,375.00,Pre-Owned,Mindray,M35054-16,United States,primismedical,or Best Offer
2026-01-18,DRAGER VAPOR 2000 ISOFLURANE ANESTHESIA VAPORIZER,2195.00,Pre-Owned,Drager,Vapor 2000,United States,tekyard_medical,Buy It Now
2026-01-17,Datex-Ohmeda Tec 7 1175-9101-000 Isoflurane Inhaled Anesthesia Vaporizer,389.99,Pre-Owned,Datex-Ohmeda,Tec 7,United States,adriaspiess,or Best Offer
2026-01-16,Datex Ohmeda Isotec 5 Isoflurane Vaporizer Tested,329.00,Pre-Owned,Datex-Ohmeda,Isotec 5,United States,advancedmedrepair,or Best Offer
2026-01-16,Datex-Ohmeda Isotec 5 Isoflurane Vaporizer,124.00,Pre-Owned,Datex-Ohmeda,Isotec 5,United States,relinkmedical,or Best Offer
2026-01-15,Datex-Ohmeda Isotec 5 Isoflurane Vaporizer,124.00,Pre-Owned,Datex-Ohmeda,Isotec 5,United States,relinkmedical,Best offer accepted
2026-01-15,Ohmeda Medical TEC Isotec 4 Isoflurane Vaporizer,105.00,Pre-Owned,Ohmeda,Isotec 4,United States,relinkmedical,Best offer accepted
2026-01-12,DRAGER VAPOR 2000 ISOFLURANE ANESTHESIA VAPORIZER,2195.00,Pre-Owned,Drager,Vapor 2000,United States,tekyard_medical,Buy It Now
2026-01-10,R201289 VetEquip TableTop Veterinary Isoflurane Laboratory Vaporizer,250.00,Parts Only,VetEquip,TableTop,United States,outback6,Best offer accepted; veterinary
2026-01-08,DRAGER VAPOR 2000 ISOFLURANE ANESTHESIA VAPORIZER,499.00,Pre-Owned,Drager,Vapor 2000,United States,tekyard_medical,Buy It Now
2025-09-18,VetEquip Rodent Isoflurane Anesthesia System with Vaporizer Matrx VIP,1250.00,Pre-Owned,VetEquip/Matrx,VIP,United States,thelabeq,Best offer accepted; veterinary
2024-05-19,Drager Vapor 2000 Isoflurane Vaporizer,650.00,Pre-Owned,Drager,Vapor 2000,United States,aamedical,Best offer accepted
