title,price_usd,sold_date,qty_sold,source,vaporizer_type,item_category,date_sold,agent_type,period_detailed,period,period_adoption
Baxter Drager D-Vapor Desflurane Vaporizer M35500 S/W Vers. 2.03,140.0,"Mar 22, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-03-22,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Baxter Drager D-Vapor Desflurane Vaporizer M35500-16 S/W Vers. 2.03,130.0,"Jan 5, 2026",1,eBay (Terapeak),desflurane,vaporizer,2026-01-05,Desflurane,5_Post-ban,Post-regulation,Post-adoption
Baxter Drager M35500-20,300.0,"Oct 6, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-10-06,Desflurane,3_Post-agreement,Pre-regulation,Pre-adoption
Drager Anesthesia D-Vapor Desflurane Vaporizer M35500-25 Software Version 2.03,255.0,"Mar 5, 2026",1,eBay (Terapeak),desflurane,vaporizer,2026-03-05,Desflurane,5_Post-ban,Post-regulation,Post-adoption
Datex Ohmeda Aladin 2 1100-9025-000 Desflurane vaporizer cassette,110.0,"Aug 29, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-08-29,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
"Drager Medical Desflurane Vaporizer D-Vapor Ref M35500-24, SW 2.03",99.0,"Jul 25, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-07-25,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Datex-Ohmeda Desflurane Tec 6 Anesthesia Vaporizer surgical isoflurane lab vet,45.0,"Oct 3, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-10-03,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex-Ohmeda Tec 6 Desflurane Vaporizer ref:X1107-9001-000,143.59,"Jun 25, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-06-25,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex-Ohmeda Aladin2 Desflurane Vaporizer Cassette with Warranty,125.0,"Dec 4, 2025",2,eBay (Terapeak),desflurane,vaporizer,2025-12-04,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex-Ohmeda Aladin2 Desflurane Vaporizer Cassette 1100-9025-000 - Untested,59.99,"Aug 6, 2025",2,eBay (Terapeak),desflurane,vaporizer,2025-08-06,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Baxter Drager D-Vapor Desflurane Vaporizer M35500 Sv 2.03,139.99,"Dec 10, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-12-10,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Baxter Drager D-Vapor Desflurane Vaporizer M35500 Sv 3.0,144.0,"Dec 18, 2025",3,eBay (Terapeak),desflurane,vaporizer,2025-12-18,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,179.0,"Jun 8, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-06-08,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,50.0,"Jul 24, 2023",3,eBay (Terapeak),desflurane,vaporizer,2023-07-24,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Drager D-Vapor Desflurane Vaporizer,260.0,"Feb 16, 2024",2,eBay (Terapeak),desflurane,vaporizer,2024-02-16,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,50.0,"Oct 3, 2024",3,eBay (Terapeak),desflurane,vaporizer,2024-10-03,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Baxter Drager D-Vapor Desflurane Vaporizer ref: M35500-10,130.0,"Jul 29, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-07-29,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Drager D-Vapor Baxter Desflurane M35500-18 Anesthesia Vaporizer Unit,99.95,"Feb 21, 2026",1,eBay (Terapeak),desflurane,vaporizer,2026-02-21,Desflurane,5_Post-ban,Post-regulation,Post-adoption
Datex Ohmeda Tec 6 Plus X1107-9601-000 Desflurane Vaporizer,149.0,"Apr 4, 2023",2,eBay (Terapeak),desflurane,vaporizer,2023-04-04,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer 60 Day Warranty!,99.0,"Sep 26, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-09-26,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Baxter Drager D-Vapor Desflurane Vaporizer 60-Day Warranty,299.0,"Jul 30, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-07-30,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Baxter D-Vapor Desflurane Vaporizer,299.99,"Jan 14, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-01-14,Desflurane,3_Post-agreement,Pre-regulation,Pre-adoption
Baxter Healthcare Drager Med D-Vapor Desflurane Vaporizer,200.0,"Jan 17, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-01-17,Desflurane,3_Post-agreement,Pre-regulation,Pre-adoption
Baxter D-Vapor Desflurane Vaporizer,210.0,"Jan 20, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-01-20,Desflurane,3_Post-agreement,Pre-regulation,Pre-adoption
Baxter Desflurane Drager D-Vapor Desflurane Vaporizer with Warranty,495.0,"May 14, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-05-14,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Drager Anesthesia D-Vapor Desflurane Vaporizer Ref:M35500-14 Software Ver. 2.03,150.0,"Jul 2, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-07-02,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
GE Datex Ohmeda Tec 6 Plus Anes Vaporizer (Desflurane) 1107-9601-000,54.95,"Dec 20, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-12-20,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
GE Datex Ohmeda Tec 6 Plus Anes Vaporizer (Desflurane) 1107-9601-000,54.95,"Jan 2, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-01-02,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Drager Anesthesia D-Vapor Desflurane Vaporizer Ref: M35500 Software Ver. 3.00,275.0,"Mar 31, 2025",2,eBay (Terapeak),desflurane,vaporizer,2025-03-31,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DATEX OHMEDA TEC 6 PLUS DESFLURANE VAPORIZER,125.0,"Sep 13, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-09-13,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Baxter Drager D-Vapor Desflurane Vaporizer untested for parts,350.0,"Sep 15, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-09-15,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Baxter Drager Anesthesia D-Vapor Desflurane Vaporizer,575.0,"Jul 16, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-07-16,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Tec 6 Desflurane Anesthesia Vaporizer with 90-Day Warranty,45.0,"Feb 19, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-02-19,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Draeger Medical D-Vapor DES Desflurane Vaporizer,200.0,"Jun 16, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-06-16,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Baxter Healthcare Drager Med D-Vapor Desflurane Vaporizer M35500-24,424.15,"Apr 7, 2024",2,eBay (Terapeak),desflurane,vaporizer,2024-04-07,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Draeger Medical D-Vapor Desflurane Vaporizer,71.0,"Dec 20, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-12-20,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Draeger Medical D-Vapor Desflurane Vaporizer,86.0,"Jan 3, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-01-03,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Maquet SAF-T-FIL Desflurane Vaporizer,100.0,"Sep 27, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-09-27,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Draeger Medical D-Vapor Desflurane Vaporizer,101.0,"Feb 24, 2026",1,eBay (Terapeak),desflurane,vaporizer,2026-02-24,Desflurane,5_Post-ban,Post-regulation,Post-adoption
Draeger Medical D-Vapor DES Desflurane Vaporizer,200.0,"May 27, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-05-27,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Draeger Medical D-Vapor Desflurane Vaporizer,71.0,"Dec 8, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-12-08,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Draeger Medical D-Vapor Desflurane Vaporizer,87.0,"Jan 3, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-01-03,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Draeger Medical D-Vapor Desflurane Vaporizer,65.0,"Dec 21, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-12-21,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Draeger Medical D-Vapor Desflurane Vaporizer,101.0,"Apr 21, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-04-21,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
"Drager D-Vapor Desflurane Vaporizer, Software V3.00, REF M35500-41",399.99,"May 9, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-05-09,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Drager Baxter M35500-18 D-Vapor Desflurane Vaporizer,300.0,"Dec 15, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-12-15,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Draeger Medical D-Vapor Desflurane Vaporizer,85.85,"Dec 21, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-12-21,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Draeger Medical D-Vapor Desflurane Vaporizer,86.0,"Jan 19, 2026",1,eBay (Terapeak),desflurane,vaporizer,2026-01-19,Desflurane,5_Post-ban,Post-regulation,Post-adoption
BOC Ohmeda Tec 6 Desflurane Anesthesia Vaporizer,65.0,"Feb 21, 2026",1,eBay (Terapeak),desflurane,vaporizer,2026-02-21,Desflurane,5_Post-ban,Post-regulation,Post-adoption
Draeger Medical D-Vapor Desflurane Vaporizer,101.0,"Feb 24, 2026",1,eBay (Terapeak),desflurane,vaporizer,2026-02-24,Desflurane,5_Post-ban,Post-regulation,Post-adoption
Datex Ohmeda Model Tec 6 Plus Anesthesia Vaporizer (Desflurane) ~ 32957,259.0,"Dec 19, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-12-19,Desflurane,3_Post-agreement,Pre-regulation,Pre-adoption
Datex Ohmeda Tec 6 Plus Desflurane Vaporizer - Clean & Fully Functional!,69.99,"Dec 2, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-12-02,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
