title,price_usd,sold_date,qty_sold,source,vaporizer_type,item_category
Datex Ohmeda Tec 6 plus Desflurane Vaporizer,25.0,"Jan 17, 2024",1,eBay (Terapeak),desflurane,vaporizer
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,50.0,"Feb 16, 2024",1,eBay (Terapeak),desflurane,vaporizer
Mindray Drager Desflurane Vaporizer,125.0,"Mar 24, 2024",1,eBay (Terapeak),desflurane,vaporizer
Draeger Medical D-Vapor Desflurane Vaporizer,80.0,"Dec 21, 2024",1,eBay (Terapeak),desflurane,vaporizer
Drager D-Vapor 3000 M36700 Desflurane Vaporizer,375.0,"Mar 4, 2026",1,eBay (Terapeak),desflurane,vaporizer
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,28.0,"May 13, 2025",1,eBay (Terapeak),desflurane,vaporizer
Drager Desflurane Anesthesia D-Vapor M35500-14 Sv 2.03 Vaporizor,100.0,"Aug 4, 2025",1,eBay (Terapeak),desflurane,vaporizer
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,79.99,"Mar 4, 2026",1,eBay (Terapeak),desflurane,vaporizer
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,28.0,"Jan 24, 2026",1,eBay (Terapeak),desflurane,vaporizer
Draeger Medical D-Vapor Desflurane Vaporizer,101.0,"Feb 24, 2026",1,eBay (Terapeak),desflurane,vaporizer
Drager D-Vapor 3000 M36700 Desflurane Vaporizer,375.0,"Mar 13, 2026",1,eBay (Terapeak),desflurane,vaporizer
BAXTER DRAGER D-VAPOR DESFLURANE VAPORIZER SOFTWARE VERSION 2.03,320.0,"Oct 5, 2023",1,eBay (Terapeak),desflurane,vaporizer
DRAGER M35500 D-VAPOR DESFLURANE SOFTWARE VERSION 3.00 MINDRAY 50/60HZ 2A,332.75,"Jan 10, 2025",1,eBay (Terapeak),desflurane,vaporizer
Baxter Desflurane Drager D-Vapor REF M35500-16,150.0,"Dec 15, 2025",1,eBay (Terapeak),desflurane,vaporizer
GE Datex Aladin Desflurane Anesthesia Vaporizer,195.0,"Mar 30, 2023",1,eBay (Terapeak),desflurane,vaporizer
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,79.99,"Feb 20, 2024",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda GE Aladin2 Desflurane Cassette 1100-9026-000 Vaporizer NEW,525.0,"Jun 14, 2023",3,eBay (Terapeak),desflurane,vaporizer
Drager D-Vapor Desflurane Software Version 3.00 MH-35500,210.0,"Dec 4, 2023",1,eBay (Terapeak),desflurane,vaporizer
Drager D-Vapor Desflurane Software Version 3.00 MH-35500,215.0,"Dec 20, 2023",1,eBay (Terapeak),desflurane,vaporizer
Drager D-Vapor Desflurane Vaporizer,800.0,"Jul 16, 2024",1,eBay (Terapeak),desflurane,vaporizer
Datex-Ohmeda Tec 6+ Desflurane anesthesia vaporizer. New in box.,1500.0,"Aug 20, 2024",1,eBay (Terapeak),desflurane,vaporizer
LOT OF 2: Drager D-Vapor Desflurane Anesthesia Vaporizer,495.0,"Aug 24, 2023",1,eBay (Terapeak),desflurane,vaporizer
BAXTER DRAGER M35500-18 D-VAPOR DESFLURANE VAPORIZER SOFTWARE VERSION 2.03,361.79,"Aug 18, 2024",1,eBay (Terapeak),desflurane,vaporizer
Baxter Drager D-Vapor Desflurane Vaporizer ref: M35500-04,115.0,"Nov 21, 2025",1,eBay (Terapeak),desflurane,vaporizer
Baxter Drager D-Vapor Desflurane Vaporizer ref: M35500-14,125.0,"Oct 26, 2025",1,eBay (Terapeak),desflurane,vaporizer
Qty 3 Baxter Drager D-Vapor Desflurane Vaporizer ref: M35500-25,250.0,"Aug 23, 2025",1,eBay (Terapeak),desflurane,vaporizer
Baxter Drager D-Vapor Desflurane Vaporizer ref: M35500-16,199.99,"May 9, 2025",4,eBay (Terapeak),desflurane,vaporizer
Drager Anesthesia D-Vapor Desflurane Vaporizer Ref:M35500-24 Software Ver. 2.03,250.0,"Jan 19, 2026",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda Desflurane Aladin A-VDES Cassette Anesthesia Electronic Vaporizer,79.0,"Feb 21, 2026",1,eBay (Terapeak),desflurane,vaporizer
Datex-Ohmeda Tec 6 Desflurane Vaporizer,199.0,"Feb 2, 2024",1,eBay (Terapeak),desflurane,vaporizer
"Baxter Drager Desflurane Auto Exclusion D Vapor M35500-25, Made in Germany",450.0,"May 14, 2024",1,eBay (Terapeak),desflurane,vaporizer
Baxter Drager D-Vapor Desflurane Vaporizer ref: M35500-18 (e8-2),169.99,"Feb 16, 2026",1,eBay (Terapeak),desflurane,vaporizer
Baxter Drager D-Vapor M35500-20,499.0,"Sep 15, 2023",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda Desflurane Tec 6 Plus Vaporizer,45.89,"Oct 14, 2024",1,eBay (Terapeak),desflurane,vaporizer
Drager M35500 D-VAPOR DESFLURANE SOFTWARE VERSION 3.00 MINDRAY 50/60HZ 2A,149.99,"Aug 30, 2025",1,eBay (Terapeak),desflurane,vaporizer
Drager Anesthesia D-Vapor Desflurane Vaporizer Ref:M35500-16 Software Ver. 2.03,135.0,"Mar 18, 2026",1,eBay (Terapeak),desflurane,vaporizer
GE Healthcare Aladin Desflurane Cassette Vaporizer,50.0,"May 3, 2023",2,eBay (Terapeak),desflurane,vaporizer
