country,iso3,mu_A,beta_D,mu_joint,beta_joint,rmse_trajectory_produced,slope_produced,rmse_trajectory_tang_only,log_scale_ratio,n_cwon_years,rnd_pct_gdp_mean,L_prod_joint,L_wealth_joint
Republic of Korea,KOR,1.0163415387452626,0.0,4.5025,0.0,0.04777372095607653,0.9006552021198312,0.04777372095607653,-13.090818195480812,25,2.9655416666666667,0.000823400690859608,0.00019351727923160652
Latvia,LVA,5.988502921434257,0.0,0.01,0.0,0.07586089925852464,-0.005723454473141096,0.07586089925852464,-12.708329465304505,25,0.5345654166666666,0.009327809941589908,0.0019749197696446157
Lithuania,LTU,5.988502921434257,0.0,0.01,0.0,0.08608754323453913,0.586796357613223,0.08608754323453913,-12.843996708844386,25,0.77614375,0.005427920590882908,0.0024576107599210448
Luxembourg,LUX,3.3429224792330428,0.29,3.504166666666667,0.22,0.014701004305458197,0.9969134612743454,0.01443325934884915,-13.361482519887021,25,1.4069677777777776,0.0009738735226530755,0.00021486879377886399
Mexico,MEX,0.0214970785657428,0.01,4.252916666666667,0.16,0.049242792751303374,0.8175782085809559,0.04925171068298353,-12.659026971320456,25,0.3597945833333333,0.0013221882744721275,0.001712130750204586
Netherlands,NLD,0.0209323735913444,0.34,6.0,0.34,0.03690423097490269,0.8370279014170063,0.037108955144161966,-13.511835968710672,25,1.8711987499999996,0.00045811819682803936,0.0007539181359643213
New Zealand,NZL,5.993298142059523,0.18,1.0083333333333333,0.28,0.09054874856076008,0.6370531893103925,0.09085449130061805,-14.28597534062694,25,1.18496,0.0010848759594245536,0.00751398029966134
Norway,NOR,0.4147964580251315,0.34,0.01,0.34,0.084444020938614,0.6484479888572299,0.08477385418680942,-13.982032046799278,25,1.7033676190476192,0.0002781000580969295,0.00682733959608019
Poland,POL,0.0214970785657428,0.0,0.01,0.0,0.13912853125943228,0.5976947334279368,0.13912853125943228,-12.239824880512417,25,0.7547004166666668,0.0016124211302221024,0.019345529659436488
Portugal,PRT,0.0214970785657428,0.09,0.01,0.1,0.035687831457318235,1.0834354479275021,0.03546708653380572,-12.661101632002358,25,1.0619525,0.0011065976540242765,0.0012662551030242694
Slovakia,SVK,4.999687474872368,0.0,0.01,0.0,0.07905533395173205,0.6330915954521181,0.07905533395173205,-12.957583220024501,25,0.7000758333333333,0.0016047761402661618,0.003536914251061806
Slovenia,SVN,0.6494950068232981,0.0,0.25958333333333333,0.0,0.06503996243456504,0.6516556782233903,0.06503996243456504,-12.677293189067708,25,1.7587233333333334,0.0009544963945690238,0.004163720590709633
Spain,ESP,0.0214970785657428,0.1,0.01,0.12,0.04084501474628791,0.8768480583818993,0.040952222963040213,-12.75868057713108,25,1.11616125,0.0011914431526455784,0.0016651442945824386
Sweden,SWE,1.391517208749705,0.0,1.2579166666666668,0.0,0.0174365854431223,1.1221472751045132,0.0174365854431223,-14.007140677332194,25,3.3568534999999997,0.000266439798370216,0.0003040448013661393
Switzerland,CHE,0.0214970785657428,0.0,0.01,0.1,0.09154509615613081,0.3955986334386641,0.09154509615613081,-13.832502963424009,25,2.752295,0.0003711140052472476,0.008305879406978656
Turkey,TUR,0.0214970785657428,0.04,0.01,0.08,0.20769242375855557,0.6376006806104535,0.20778100884541056,-11.318085411134057,25,0.7270949999999999,0.002999314139173312,0.04301813674121324
United Kingdom,GBR,2.02979064983472,0.0,1.5075,0.0,0.011727992620082417,1.0345250404094326,0.011727992620082417,-13.342163693573207,25,1.8036216666666665,0.00027553315593838894,0.00013399580501177247
United States,USA,0.0214970785657428,0.0,3.504166666666667,0.0,0.032755246585084,0.8487173064080819,0.032755246585084,-13.93975978672451,25,2.6734708333333335,0.00017439691501157224,0.0007496084476175198
